algorithm,data_size_bytes,experiment_type,trial_number,bit_position,input_total_bits,ciphertext_changed_bits,ciphertext_total_bits,ciphertext_change_percent,tag_changed_bits,tag_total_bits,tag_change_percent
Ascon-AEAD128,1024,plaintext_bit_flip,1,0,8192,4000,8192,48.828125,67,128,52.34375
Ascon-AEAD128,1024,plaintext_bit_flip,2,256,8192,3899,8192,47.59521484375,60,128,46.875
Ascon-AEAD128,1024,plaintext_bit_flip,3,512,8192,3777,8192,46.10595703125,53,128,41.40625
Ascon-AEAD128,1024,plaintext_bit_flip,4,768,8192,3638,8192,44.4091796875,60,128,46.875
Ascon-AEAD128,1024,plaintext_bit_flip,5,1024,8192,3621,8192,44.20166015625,58,128,45.3125
Ascon-AEAD128,1024,plaintext_bit_flip,6,1280,8192,3362,8192,41.0400390625,67,128,52.34375
Ascon-AEAD128,1024,plaintext_bit_flip,7,1536,8192,3277,8192,40.00244140625,69,128,53.90625
Ascon-AEAD128,1024,plaintext_bit_flip,8,1792,8192,3170,8192,38.6962890625,61,128,47.65625
Ascon-AEAD128,1024,plaintext_bit_flip,9,2048,8192,3054,8192,37.2802734375,59,128,46.09375
Ascon-AEAD128,1024,plaintext_bit_flip,10,2304,8192,2917,8192,35.60791015625,72,128,56.25
Ascon-AEAD128,1024,plaintext_bit_flip,11,2560,8192,2779,8192,33.92333984375,64,128,50.0
Ascon-AEAD128,1024,plaintext_bit_flip,12,2816,8192,2616,8192,31.93359375,72,128,56.25
Ascon-AEAD128,1024,plaintext_bit_flip,13,3072,8192,2524,8192,30.810546875,61,128,47.65625
Ascon-AEAD128,1024,plaintext_bit_flip,14,3328,8192,2363,8192,28.84521484375,66,128,51.5625
Ascon-AEAD128,1024,plaintext_bit_flip,15,3584,8192,2230,8192,27.2216796875,66,128,51.5625
Ascon-AEAD128,1024,plaintext_bit_flip,16,3840,8192,2116,8192,25.830078125,57,128,44.53125
Ascon-AEAD128,1024,plaintext_bit_flip,17,4096,8192,2014,8192,24.5849609375,68,128,53.125
Ascon-AEAD128,1024,plaintext_bit_flip,18,4352,8192,1856,8192,22.65625,68,128,53.125
Ascon-AEAD128,1024,plaintext_bit_flip,19,4608,8192,1734,8192,21.1669921875,65,128,50.78125
Ascon-AEAD128,1024,plaintext_bit_flip,20,4864,8192,1631,8192,19.90966796875,59,128,46.09375
Ascon-AEAD128,1024,plaintext_bit_flip,21,5120,8192,1485,8192,18.12744140625,68,128,53.125
Ascon-AEAD128,1024,plaintext_bit_flip,22,5376,8192,1336,8192,16.30859375,62,128,48.4375
Ascon-AEAD128,1024,plaintext_bit_flip,23,5632,8192,1237,8192,15.10009765625,62,128,48.4375
Ascon-AEAD128,1024,plaintext_bit_flip,24,5888,8192,1107,8192,13.51318359375,56,128,43.75
Ascon-AEAD128,1024,plaintext_bit_flip,25,6144,8192,967,8192,11.80419921875,59,128,46.09375
Ascon-AEAD128,1024,plaintext_bit_flip,26,6400,8192,821,8192,10.02197265625,63,128,49.21875
Ascon-AEAD128,1024,plaintext_bit_flip,27,6656,8192,681,8192,8.31298828125,67,128,52.34375
Ascon-AEAD128,1024,plaintext_bit_flip,28,6912,8192,588,8192,7.177734375,64,128,50.0
Ascon-AEAD128,1024,plaintext_bit_flip,29,7168,8192,408,8192,4.98046875,61,128,47.65625
Ascon-AEAD128,1024,plaintext_bit_flip,30,7424,8192,326,8192,3.9794921875,66,128,51.5625
Ascon-AEAD128,1024,plaintext_bit_flip,31,7680,8192,180,8192,2.197265625,60,128,46.875
Ascon-AEAD128,1024,plaintext_bit_flip,32,7936,8192,65,8192,0.79345703125,64,128,50.0
Ascon-AEAD128,1024,key_bit_flip,1,0,128,4089,8192,49.91455078125,64,128,50.0
Ascon-AEAD128,1024,key_bit_flip,2,4,128,4091,8192,49.93896484375,70,128,54.6875
Ascon-AEAD128,1024,key_bit_flip,3,8,128,4080,8192,49.8046875,60,128,46.875
Ascon-AEAD128,1024,key_bit_flip,4,12,128,4047,8192,49.40185546875,64,128,50.0
Ascon-AEAD128,1024,key_bit_flip,5,16,128,4064,8192,49.609375,65,128,50.78125
Ascon-AEAD128,1024,key_bit_flip,6,20,128,4131,8192,50.42724609375,69,128,53.90625
Ascon-AEAD128,1024,key_bit_flip,7,24,128,4111,8192,50.18310546875,69,128,53.90625
Ascon-AEAD128,1024,key_bit_flip,8,28,128,4089,8192,49.91455078125,66,128,51.5625
Ascon-AEAD128,1024,key_bit_flip,9,32,128,4200,8192,51.26953125,63,128,49.21875
Ascon-AEAD128,1024,key_bit_flip,10,36,128,4100,8192,50.048828125,58,128,45.3125
Ascon-AEAD128,1024,key_bit_flip,11,40,128,3977,8192,48.54736328125,74,128,57.8125
Ascon-AEAD128,1024,key_bit_flip,12,44,128,4073,8192,49.71923828125,64,128,50.0
Ascon-AEAD128,1024,key_bit_flip,13,48,128,4151,8192,50.67138671875,74,128,57.8125
Ascon-AEAD128,1024,key_bit_flip,14,52,128,4091,8192,49.93896484375,57,128,44.53125
